detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts,avg_total,pts_sec
FAST, BRISK, MAT_BF, SEL_KNN,39.4563,408,11.5526,1.91437,242,52.92,4573
FAST, BRISK, MAT_BF, SEL_NN,39.2443,408,11.6633,3.26002,266,54.17,4911
FAST, BRIEF, MAT_BF, SEL_KNN,40.0271,408,13.4514,1.62489,314,55.10,5698
FAST, BRIEF, MAT_BF, SEL_NN,40.0594,408,14.1262,3.61919,288,57.80,4982
FAST, ORB, MAT_BF, SEL_KNN,40.8309,408,24.1787,1.49666,306,66.51,4601
FAST, ORB, MAT_BF, SEL_NN,40.7385,408,24.0921,3.92035,287,68.75,4174
SHITOMASI, BRISK, MAT_BF, SEL_KNN,75.3153,117,4.27404,0.583478,85,80.17,1060
SHITOMASI, BRISK, MAT_BF, SEL_NN,75.85,117,4.26917,0.749982,91,80.87,1125
HARRIS, BRISK, MAT_BF, SEL_KNN,78.715,25,1.79766,0.472198,15,80.98,185
HARRIS, BRISK, MAT_BF, SEL_NN,79.3286,25,1.94901,0.499843,16,81.78,196
HARRIS, BRIEF, MAT_BF, SEL_KNN,80.129,25,1.90114,0.330118,19,82.36,231
HARRIS, BRISK, MAT_FLANN, SEL_KNN,77.9982,25,1.84319,3.03727,15,82.88,181
HARRIS, BRIEF, MAT_BF, SEL_NN,80.7866,25,1.93732,0.262528,17,82.99,205
HARRIS, BRISK, MAT_FLANN, SEL_NN,78.0317,25,1.84699,3.13098,23,83.01,277
SHITOMASI, BRIEF, MAT_BF, SEL_KNN,78.2248,117,4.777,0.858672,104,83.86,1240
SHITOMASI, BRIEF, MAT_BF, SEL_NN,77.5314,117,5.23246,1.1781,100,83.94,1191
HARRIS, BRIEF, MAT_FLANN, SEL_NN,79.3755,25,2.08962,3.02598,23,84.49,272
HARRIS, BRIEF, MAT_FLANN, SEL_KNN,80.0229,25,2.3813,2.83227,19,85.24,223
SHITOMASI, BRIEF, MAT_FLANN, SEL_KNN,78.4652,117,4.91666,14.694,105,98.08,1071
SHITOMASI, BRISK, MAT_FLANN, SEL_NN,78.2022,117,4.41381,15.8621,118,98.48,1198
SHITOMASI, ORB, MAT_BF, SEL_KNN,78.0269,117,20.6642,0.384074,100,99.08,1009
SHITOMASI, BRISK, MAT_FLANN, SEL_KNN,79.3398,117,4.29592,15.6481,85,99.28,856
SHITOMASI, BRIEF, MAT_FLANN, SEL_NN,80.0564,117,5.09491,14.1505,118,99.30,1188
HARRIS, ORB, MAT_BF, SEL_NN,80.5977,25,19.6603,0.542777,17,100.80,169
SHITOMASI, ORB, MAT_BF, SEL_NN,79.0716,117,21.0781,0.809138,100,100.96,991
HARRIS, ORB, MAT_FLANN, SEL_NN,78.6163,25,20.2494,2.70936,23,101.58,226
HARRIS, ORB, MAT_BF, SEL_KNN,82.1692,25,19.4716,0.38313,17,102.02,167
HARRIS, ORB, MAT_FLANN, SEL_KNN,79.1485,25,20.4457,2.73938,17,102.33,166
SHITOMASI, ORB, MAT_FLANN, SEL_KNN,78.7975,117,21.0063,13.9247,100,113.73,879
SHITOMASI, ORB, MAT_FLANN, SEL_NN,80.2713,117,20.7953,13.4131,118,114.48,1031
BRISK, BRISK, MAT_BF, SEL_NN,114.954,277,8.39577,1.82263,177,125.17,1414
BRISK, BRIEF, MAT_BF, SEL_KNN,115.699,277,8.88435,1.02649,189,125.61,1505
FAST, BRIEF, MAT_FLANN, SEL_NN,40.7138,408,13.9475,71.0731,410,125.73,3261
FAST, FREAK, MAT_BF, SEL_NN,40.4265,408,82.0999,3.7711,265,126.30,2098
FAST, FREAK, MAT_BF, SEL_KNN,42.9118,408,81.5254,2.05994,248,126.50,1961
BRISK, BRIEF, MAT_BF, SEL_NN,115.935,277,8.95136,1.74056,172,126.63,1358
FAST, BRIEF, MAT_FLANN, SEL_KNN,40.096,408,13.4419,74.1894,314,127.73,2458
FAST, ORB, MAT_FLANN, SEL_NN,40.1133,408,23.5955,64.3646,410,128.07,3201
BRISK, BRISK, MAT_BF, SEL_KNN,118.692,277,8.52074,1.22731,174,128.44,1355
FAST, ORB, MAT_FLANN, SEL_KNN,40.9525,408,23.3918,68.1295,306,132.47,2310
ORB, BRISK, MAT_BF, SEL_KNN,124.11,328,9.25613,1.26779,226,134.63,1679
ORB, BRISK, MAT_BF, SEL_NN,125.27,328,9.29144,2.0693,219,136.63,1603
ORB, BRIEF, MAT_BF, SEL_KNN,125.148,328,10.312,1.37422,156,136.83,1140
FAST, BRISK, MAT_FLANN, SEL_KNN,39.0696,408,11.6735,87.4706,242,138.21,1751
ORB, BRIEF, MAT_BF, SEL_NN,126.431,328,10.9926,2.83328,173,140.26,1233
FAST, BRISK, MAT_FLANN, SEL_NN,40.4104,408,11.6709,90.6935,410,142.77,2872
HARRIS, FREAK, MAT_BF, SEL_KNN,75.443,25,73.5101,0.251049,16,149.20,107
HARRIS, FREAK, MAT_BF, SEL_NN,75.6689,25,72.893,0.760226,16,149.32,107
SHITOMASI, FREAK, MAT_BF, SEL_NN,74.8906,117,74.4618,0.631079,91,149.98,607
HARRIS, FREAK, MAT_FLANN, SEL_KNN,75.1612,25,71.7427,3.33398,16,150.24,106
SHITOMASI, FREAK, MAT_BF, SEL_KNN,75.7967,117,74.1977,0.410219,85,150.40,565
HARRIS, FREAK, MAT_FLANN, SEL_NN,76.6343,25,72.8185,3.03982,23,152.49,151
BRISK, BRIEF, MAT_FLANN, SEL_NN,115.688,277,9.05227,41.0349,278,165.78,1677
BRISK, BRISK, MAT_FLANN, SEL_NN,115.416,277,8.46278,42.9202,278,166.80,1667
BRISK, BRIEF, MAT_FLANN, SEL_KNN,115.806,277,8.93069,42.4468,189,167.18,1130
SHITOMASI, FREAK, MAT_FLANN, SEL_NN,74.2871,117,75.1833,17.8307,118,167.30,705
BRISK, BRISK, MAT_FLANN, SEL_KNN,115.873,277,8.28955,43.891,174,168.05,1035
SHITOMASI, FREAK, MAT_FLANN, SEL_KNN,74.6203,117,76.3418,18.8759,85,169.84,500
ORB, BRISK, MAT_FLANN, SEL_NN,126.12,328,9.28389,45.5345,303,180.94,1675
ORB, BRISK, MAT_FLANN, SEL_KNN,127.659,328,9.19348,45.3177,226,182.17,1241
BRISK, ORB, MAT_BF, SEL_NN,115.352,277,73.4156,1.3754,176,190.14,926
BRISK, ORB, MAT_BF, SEL_KNN,116.598,277,73.2759,0.96544,167,190.84,875
ORB, BRIEF, MAT_FLANN, SEL_NN,128.419,328,10.4851,52.7389,325,191.64,1696
ORB, BRIEF, MAT_FLANN, SEL_KNN,131.3,328,10.4754,53.2476,156,195.02,800
BRISK, FREAK, MAT_BF, SEL_KNN,118.759,277,76.4249,0.816227,169,196.00,862
BRISK, FREAK, MAT_BF, SEL_NN,117.814,277,77.803,1.36209,166,196.98,843
ORB, FREAK, MAT_BF, SEL_KNN,127.895,328,74.3626,0.834227,128,203.09,630
ORB, FREAK, MAT_BF, SEL_NN,128.509,328,74.3305,1.67255,124,204.51,606
ORB, ORB, MAT_BF, SEL_KNN,129.485,328,82.8556,1.38494,224,213.73,1048
ORB, ORB, MAT_BF, SEL_NN,133.171,328,82.4468,3.82668,229,219.44,1044
BRISK, ORB, MAT_FLANN, SEL_KNN,117.879,277,73.7629,35.7955,168,227.44,739
BRISK, ORB, MAT_FLANN, SEL_NN,119.369,277,74.1418,34.2147,278,227.73,1221
FAST, FREAK, MAT_FLANN, SEL_KNN,39.9654,408,81.9149,106.756,248,228.64,1085
ORB, FREAK, MAT_FLANN, SEL_KNN,128.279,328,74.7428,26.1209,128,229.14,559
ORB, FREAK, MAT_FLANN, SEL_NN,129.188,328,74.6868,25.9472,176,229.82,766
FAST, FREAK, MAT_FLANN, SEL_NN,39.9627,408,80.9208,109.163,410,230.05,1782
BRISK, FREAK, MAT_FLANN, SEL_KNN,115.505,277,75.5999,46.0141,169,237.12,713
BRISK, FREAK, MAT_FLANN, SEL_NN,117.66,277,75.9233,45.0303,258,238.61,1081
ORB, ORB, MAT_FLANN, SEL_NN,126.991,328,81.4156,43.5658,325,251.97,1290
ORB, ORB, MAT_FLANN, SEL_KNN,126.479,328,82.1849,43.4822,224,252.15,888
SHITOMASI, SIFT, MAT_BF, SEL_KNN,72.4568,117,415.626,1.92022,103,490.00,210
SHITOMASI, SIFT, MAT_BF, SEL_NN,72.6446,117,418.463,3.84224,101,494.95,204
SHITOMASI, SIFT, MAT_FLANN, SEL_KNN,72.4665,117,415.272,11.7149,103,499.45,206
SHITOMASI, SIFT, MAT_FLANN, SEL_NN,72.7394,117,419.203,10.2981,118,502.24,235
FAST, SIFT, MAT_BF, SEL_KNN,40.0528,408,442.429,22.5037,309,504.99,612
HARRIS, SIFT, MAT_FLANN, SEL_KNN,73.3184,25,431.985,2.25361,18,507.56,35
HARRIS, SIFT, MAT_FLANN, SEL_NN,74.4453,25,434.093,1.94092,23,510.48,45
FAST, SIFT, MAT_FLANN, SEL_NN,40.1676,408,439.851,39.1038,410,519.12,790
HARRIS, SIFT, MAT_BF, SEL_KNN,77.4666,25,441.59,0.236849,18,519.29,35
HARRIS, SIFT, MAT_BF, SEL_NN,76.1689,25,445.394,0.339729,17,521.90,33
FAST, SIFT, MAT_BF, SEL_NN,40.0962,408,441.769,47.2359,293,529.10,554
AKAZE, BRIEF, MAT_BF, SEL_KNN,523.269,167,5.54901,0.637223,140,529.46,264
FAST, SIFT, MAT_FLANN, SEL_KNN,42.0957,408,443.772,44.2725,310,530.14,585
AKAZE, BRIEF, MAT_BF, SEL_NN,523.575,167,5.64569,0.984752,139,530.21,262
AKAZE, BRISK, MAT_BF, SEL_NN,527.252,167,5.05717,0.991686,139,533.30,261
AKAZE, BRISK, MAT_BF, SEL_KNN,528,167,4.95489,0.745414,135,533.70,253
AKAZE, BRIEF, MAT_FLANN, SEL_KNN,530.77,167,5.59772,21.0614,140,557.43,251
AKAZE, BRIEF, MAT_FLANN, SEL_NN,531.864,167,5.58402,20.1011,165,557.55,296
AKAZE, BRISK, MAT_FLANN, SEL_NN,529.533,167,4.97152,23.7468,165,558.25,296
AKAZE, BRISK, MAT_FLANN, SEL_KNN,546.308,167,5.11044,24.5462,135,575.96,234
HARRIS, AKAZE, MAT_BF, SEL_KNN,77.4032,25,517.267,0.378863,19,595.05,32
AKAZE, ORB, MAT_BF, SEL_NN,544.25,167,48.8867,2.74367,134,595.88,225
AKAZE, ORB, MAT_BF, SEL_KNN,545.033,167,49.0992,2.21309,131,596.35,220
HARRIS, AKAZE, MAT_FLANN, SEL_NN,78.7772,25,520.125,2.96737,23,601.87,38
AKAZE, ORB, MAT_FLANN, SEL_NN,538.16,167,49.2562,16.9827,165,604.40,273
HARRIS, AKAZE, MAT_BF, SEL_NN,78.3722,25,526.369,0.355329,17,605.10,28
AKAZE, FREAK, MAT_BF, SEL_NN,533.245,167,73.9739,0.738925,139,607.96,229
HARRIS, AKAZE, MAT_FLANN, SEL_KNN,79.1017,25,528.75,2.99033,19,610.84,31
AKAZE, ORB, MAT_FLANN, SEL_KNN,544.203,167,49.5566,18.681,131,612.44,214
AKAZE, FREAK, MAT_BF, SEL_KNN,539.861,167,74.56,0.495532,131,614.92,213
AKAZE, FREAK, MAT_FLANN, SEL_KNN,541.682,167,73.5611,34.668,131,649.91,202
AKAZE, FREAK, MAT_FLANN, SEL_NN,542.52,167,74.233,34.0155,165,650.77,254
BRISK, SIFT, MAT_BF, SEL_KNN,116.492,277,557.316,10.4145,182,684.22,266
BRISK, SIFT, MAT_BF, SEL_NN,115.261,277,561.565,21.7653,170,698.59,243
BRISK, SIFT, MAT_FLANN, SEL_NN,114.434,277,558.997,28.0945,278,701.53,396
BRISK, SIFT, MAT_FLANN, SEL_KNN,114.491,277,561.728,29.7821,183,706.00,259
ORB, SIFT, MAT_BF, SEL_KNN,123.77,328,635.18,14.3719,230,773.32,297
ORB, SIFT, MAT_FLANN, SEL_NN,126.134,328,634.528,30.8918,325,791.55,411
ORB, SIFT, MAT_FLANN, SEL_KNN,124.589,328,636.159,33.563,230,794.31,290
ORB, SIFT, MAT_BF, SEL_NN,132.215,328,637.543,29.0974,204,798.86,255
AKAZE, AKAZE, MAT_BF, SEL_KNN,527.514,167,506.195,0.695335,139,1034.40,134
AKAZE, SIFT, MAT_BF, SEL_KNN,523.277,167,519.373,3.88262,141,1046.53,135
AKAZE, SIFT, MAT_BF, SEL_NN,526.029,167,521.793,7.23669,141,1055.06,134
AKAZE, SIFT, MAT_FLANN, SEL_KNN,526.248,167,514.923,16.9386,142,1058.11,134
AKAZE, AKAZE, MAT_BF, SEL_NN,542.125,167,515.464,0.938129,138,1058.53,130
AKAZE, SIFT, MAT_FLANN, SEL_NN,524.697,167,518.858,15.1694,165,1058.72,156
AKAZE, AKAZE, MAT_FLANN, SEL_NN,532.21,167,509.53,24.0902,165,1065.83,155
AKAZE, AKAZE, MAT_FLANN, SEL_KNN,533.215,167,512.506,24.1395,139,1069.86,130
SIFT, BRIEF, MAT_BF, SEL_KNN,2048.62,138,4.56191,0.562989,78,2053.74,38
SIFT, BRIEF, MAT_BF, SEL_NN,2048.78,138,4.55529,0.66908,83,2054.00,40
SIFT, BRISK, MAT_BF, SEL_NN,2052.45,138,4.23939,0.80215,78,2057.49,38
SIFT, BRISK, MAT_BF, SEL_KNN,2060.08,138,4.21642,0.648447,65,2064.94,31
SIFT, BRISK, MAT_FLANN, SEL_KNN,2055.05,138,4.23689,17.9649,65,2077.25,31
SIFT, BRIEF, MAT_FLANN, SEL_NN,2058.26,138,4.60519,15.6706,138,2078.54,66
SIFT, BRISK, MAT_FLANN, SEL_NN,2067.43,138,4.20017,17.3869,138,2089.02,66
SIFT, BRIEF, MAT_FLANN, SEL_KNN,2071.4,138,4.56391,16.195,78,2092.16,37
SIFT, FREAK, MAT_BF, SEL_KNN,2053.15,138,71.8769,0.397641,65,2125.42,31
SIFT, FREAK, MAT_BF, SEL_NN,2055.95,138,72.1869,0.580045,75,2128.72,35
SIFT, FREAK, MAT_FLANN, SEL_NN,2069.91,138,72.9892,21.3903,137,2164.29,63
SIFT, FREAK, MAT_FLANN, SEL_KNN,2087.42,138,75.5667,23.483,65,2186.47,30
SIFT, SIFT, MAT_BF, SEL_NN,2057.59,138,2027.68,5.0325,92,4090.30,22
SIFT, SIFT, MAT_BF, SEL_KNN,2082.66,138,2054.33,2.73811,88,4139.73,21
SIFT, SIFT, MAT_FLANN, SEL_KNN,2089.8,138,2054.78,13.9863,89,4158.57,21
SIFT, SIFT, MAT_FLANN, SEL_NN,2093.9,138,2054.14,12.8583,138,4160.90,33
